SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,1.06197521,2,0,0.129502394,4802.0,4,0,0,0,0.0
0,0.144532993,7,0,0.35896724,3601.0,12,0,2,0,0.0
0,0.012432096,4,0,0.22628871,10300.0,4,0,1,0,0.0
0,0.302072845,4,0,0.472505499,5000.0,5,0,1,0,0.0
0,0.0,3,0,0.184867951,1400.0,5,0,0,0,1.0
0,0.611901582,5,3,0.38283949700000003,13600.0,15,0,2,0,0.0
0,0.142777388,5,0,0.261137574,7137.0,19,0,1,0,0.0
0,0.040244916,5,0,0.254095795,9582.0,7,0,1,0,0.0
0,0.0,4,0,0.0,0.0,2,0,0,0,0.0
0,0.18566695800000002,4,0,0.251218598,8000.0,11,0,2,0,1.0
0,0.836232753,3,0,0.065754866,1900.0,2,0,0,0,0.0
0,0.059832237999999996,5,0,0.343739584,9000.0,12,0,2,0,2.0
0,0.080748869,3,0,0.20075833199999998,5010.0,7,0,1,1,2.0
0,1.004164931,4,0,0.36860502100000003,6293.0,6,0,2,0,0.0
0,0.112592266,7,0,0.24782017399999998,12500.0,10,0,2,0,0.0
0,0.151899848,3,0,0.931818182,7083.0,14,0,2,0,2.0
0,0.376400605,4,0,0.416574095,4500.0,10,0,2,0,4.0
0,0.03336143,5,0,0.414058594,10000.0,14,0,3,0,0.0
0,0.21194914199999998,4,0,0.392890206,5400.0,8,0,0,0,2.0
0,0.067983723,6,0,0.711753477,3666.0,15,0,2,0,0.0
0,0.186249197,3,0,0.489893501,4600.0,8,0,1,0,0.0
0,0.663923888,7,0,1.6439363009999999,2448.0,11,0,1,0,0.0
0,0.06489133799999999,3,0,0.252175523,5400.0,8,0,1,0,0.0
0,0.21773280600000003,5,0,0.528002309,6927.0,23,0,3,0,0.0
0,0.048664864,5,0,0.006597868000000001,5910.0,2,0,0,0,0.0
0,0.430145994,5,0,0.407851842,14416.0,19,0,5,0,0.0
0,0.05946451,4,0,0.048496969,16000.0,14,0,0,0,0.0
0,0.0,8,0,0.004249668,3764.0,4,0,0,0,0.0
0,0.0,5,0,1.6895388080000002,5333.0,10,0,1,0,3.0
0,0.491447298,4,0,0.499683844,6325.0,13,0,2,0,1.0
1,0.451839449,2,0,1.563106796,2677.0,14,0,3,0,1.0
0,0.809977501,5,0,0.456382002,9800.0,11,0,2,0,1.0
0,0.02710348,3,0,0.147950683,3000.0,6,0,0,0,1.0
0,0.9999998999999999,3,2,0.357351104,2400.0,5,0,0,2,1.0
0,0.280331744,6,0,0.141259885,11000.0,8,0,2,0,1.0
0,0.152243341,5,0,0.227064426,11128.0,9,0,2,0,2.0
0,0.122964665,6,0,0.021176471000000002,2549.0,6,0,0,0,0.0
0,0.33085670699999997,5,0,0.262773723,10000.0,18,0,1,0,1.0
0,0.123178471,5,0,0.272881095,6500.0,12,0,1,0,2.0
1,0.9999998999999999,5,0,0.147940824,2500.0,1,0,0,1,0.0
0,0.0,3,0,0.22629184600000002,8572.0,4,0,1,0,0.0
0,0.9999998999999999,6,0,0.667893819,5160.0,7,0,4,0,0.0
0,0.451438181,6,0,0.748898678,5220.0,16,0,2,0,0.0
0,0.153433863,6,0,0.36337666,7000.0,4,0,1,0,1.0
0,0.324184375,8,2,0.467122118,3512.0,14,0,1,0,0.0
0,0.163354683,5,0,0.046426708,5750.0,6,0,0,0,0.0
0,0.0,2,0,0.0,1500.0,2,0,0,0,0.0
0,0.017584072,6,0,0.145980536,7500.0,9,0,1,0,0.0
0,0.17982957600000002,4,1,0.289656827,8333.0,7,0,2,0,1.0
0,0.6661052,4,0,0.41904118799999995,7404.0,3,0,1,0,3.0
1,0.9999998999999999,3,3,0.664913204,1900.0,2,1,0,1,2.0
0,0.161240615,5,0,0.050532829,2908.0,5,0,0,0,0.0
